datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491946517, 30.5000000000, 30.5000000000, 30.0125007629, 31.2124996185, 27.2000007629, 26.6375007629, 27.3125000000, 26.8624992371, 62.2000007629, 48.2000007629, 28.4740982056, 50.4402236938, 31.3046455383, 31.8348979950, 26.5000000000, 51.9000015259, 
1491946550, 30.2749996185, 30.2749996185, 29.7875003815, 30.9500007629, 27.0874996185, 26.5249996185, 27.2000007629, 26.7500000000, 54.9199981689, 47.1199989319, 28.4340419769, 50.1197814941, 31.1364154816, 32.0897216797, 26.5000000000, 52.0000000000, 
1491946583, 30.0874996185, 30.2374992371, 29.5625000000, 30.7625007629, 26.9750003815, 26.4500007629, 27.0874996185, 26.6749992371, 66.1200027466, 57.1199989319, 28.3352413177, 49.8268089294, 30.9655151367, 32.3338661194, 26.5000000000, 52.2000007629, 
1491946616, 29.8624992371, 29.7875003815, 29.3374996185, 30.6875000000, 26.8999996185, 26.3750000000, 27.0125007629, 26.6000003815, 66.0000000000, 58.2000007629, 28.2658119202, 49.5506210327, 30.7972831726, 32.6253166199, 26.5000000000, 52.2000007629, 
1491946650, 29.6749992371, 29.6000003815, 29.1499996185, 30.3125000000, 26.7875003815, 26.2999992371, 26.8999996185, 26.4874992371, 55.2000007629, 60.9199981689, 28.2097358704, 49.2805366516, 30.6717777252, 32.8694572449, 26.5000000000, 52.2000007629, 
1491946683, 29.4874992371, 29.3750000000, 28.9624996185, 30.1250000000, 26.7124996185, 26.1875000000, 26.8250007629, 26.4500007629, 60.2000007629, 52.0000000000, 28.1376361847, 49.0058746338, 30.5168991089, 33.1746406555, 26.3999996185, 52.2999992371, 
1491946716, 29.2999992371, 29.1875000000, 28.7374992371, 29.9375000000, 26.6375007629, 26.1124992371, 26.7500000000, 26.3374996185, 63.7999992371, 51.5200004578, 28.0815601349, 48.8044548035, 30.3593502045, 33.4325180054, 26.3999996185, 52.2999992371, 
1491946749, 29.1124992371, 29.0000000000, 28.5874996185, 29.7500000000, 26.5625000000, 26.0375003815, 26.6375007629, 26.2625007629, 54.2000007629, 56.5200004578, 27.9987792969, 48.5542068481, 30.2338447571, 33.6797142029, 26.3999996185, 52.4000015259, 
1491946782, 29.0375003815, 28.8125000000, 28.3999996185, 29.6000003815, 26.4874992371, 25.9624996185, 26.5625000000, 26.1875000000, 63.7200012207, 53.7999992371, 27.9533843994, 48.4123001099, 30.1083393097, 34.0001525879, 26.3999996185, 52.5000000000, 
1491946815, 28.7749996185, 28.6625003815, 28.2500000000, 29.5625000000, 26.4125003815, 25.8875007629, 26.4874992371, 26.1124992371, 53.2000007629, 53.5999984741, 27.9106578827, 48.1971473694, 29.9668121338, 34.2153053284, 26.2999992371, 52.5999984741, 
1491946848, 28.5874996185, 28.4750003815, 28.0625000000, 29.2625007629, 26.2625007629, 25.8125000000, 26.4500007629, 26.0375003815, 43.1199989319, 46.9199981689, 27.8278789520, 47.9911499023, 29.8973827362, 34.4747085571, 26.2999992371, 52.7000007629, 
1491946881, 28.4750003815, 28.3250007629, 27.9125003815, 29.1124992371, 26.2625007629, 25.7749996185, 26.3750000000, 26.0000000000, 59.2000007629, 66.1200027466, 27.8278789520, 47.8385581970, 29.7398338318, 34.6807060242, 26.2999992371, 52.7000007629, 
1491946914, 28.3250007629, 28.1749992371, 27.7625007629, 28.9624996185, 26.1875000000, 25.7000007629, 26.2625007629, 25.9249992371, 62.0000000000, 55.7200012207, 27.7424278259, 47.6417198181, 29.6143283844, 34.9752044678, 26.2999992371, 52.7000007629, 
1491946947, 28.1749992371, 28.0249996185, 27.6124992371, 28.8125000000, 26.1499996185, 25.6250000000, 26.2250003815, 25.8500003815, 58.5200004578, 44.4000015259, 27.7023735046, 47.5516891479, 29.5021743774, 35.1537361145, 26.2999992371, 52.7999992371, 
1491946980, 28.2124996185, 27.8750000000, 27.5000000000, 28.6625003815, 26.0750007629, 25.5499992371, 26.1499996185, 25.7749996185, 50.7999992371, 47.7200012207, 27.6462955475, 47.3685798645, 29.4167232513, 35.4222946167, 26.2999992371, 52.9000015259, 
1491947013, 27.9125003815, 27.7625007629, 27.5375003815, 28.5499992371, 26.0000000000, 25.4750003815, 26.0750007629, 25.7374992371, 52.5200004578, 65.9199981689, 27.6035709381, 47.2159919739, 29.3045692444, 35.5977706909, 26.2000007629, 53.0999984741, 
1491947046, 27.7999992371, 27.6124992371, 27.2000007629, 28.5499992371, 25.8875007629, 25.4375000000, 26.0375003815, 25.6625003815, 53.1199989319, 69.8000030518, 27.5474929810, 47.0710296631, 29.1763935089, 35.8037681580, 26.2000007629, 53.2999992371, 
1491947079, 27.6499996185, 27.4624996185, 27.0874996185, 28.2875003815, 25.8875007629, 25.3999996185, 25.9624996185, 25.6250000000, 59.7200012207, 47.1199989319, 27.4914169312, 46.9611663818, 29.0642414093, 36.0418090820, 26.2000007629, 53.5000000000, 
1491947112, 27.5375003815, 27.3500003815, 26.9750003815, 28.1375007629, 25.8125000000, 25.3250007629, 25.8875007629, 25.5874996185, 68.1200027466, 64.1200027466, 27.4059658051, 46.8680839539, 28.9654388428, 36.2371253967, 26.1000003815, 53.7000007629, 
1491947145, 27.3875007629, 27.2374992371, 26.8250007629, 28.0249996185, 25.7749996185, 25.2500000000, 25.8500003815, 25.4750003815, 49.7200012207, 50.9199981689, 27.3205165863, 46.7902641296, 28.8399333954, 36.4400711060, 26.1000003815, 53.9000015259, 
1491947179, 27.3500003815, 27.0874996185, 26.6749992371, 27.9125003815, 25.7000007629, 25.1749992371, 25.7749996185, 25.3624992371, 59.4000015259, 56.4000015259, 27.2217140198, 46.7215995789, 28.7117576599, 36.7177848816, 26.0000000000, 53.9000015259, 
1491947212, 27.1625003815, 27.1625003815, 26.5625000000, 27.7999992371, 25.5874996185, 25.1000003815, 25.7000007629, 25.3250007629, 56.0000000000, 56.5200004578, 27.1095600128, 46.6849784851, 28.5996036530, 36.8688468933, 26.0000000000, 54.0000000000, 
1491947245, 27.0125007629, 26.8250007629, 26.4500007629, 27.7999992371, 25.5125007629, 25.1375007629, 25.6250000000, 25.2124996185, 77.9199981689, 57.0000000000, 27.0107574463, 46.6575126648, 28.5141525269, 37.0748443604, 25.8999996185, 54.0000000000, 
1491947278, 26.8999996185, 26.7124996185, 26.3374996185, 27.5750007629, 25.4375000000, 24.9500007629, 25.5125007629, 25.1375007629, 57.4000015259, 54.3199996948, 26.9279766083, 46.5537490845, 28.4019985199, 37.3128852844, 25.7999992371, 54.2000007629, 
1491947311, 26.8250007629, 26.6000003815, 26.2250003815, 27.4624996185, 25.3624992371, 24.8374996185, 25.4375000000, 25.1000003815, 44.2000007629, 56.7999992371, 26.8425273895, 46.4759292603, 28.3299007416, 37.5066757202, 25.7999992371, 54.2999992371, 
1491947344, 26.6749992371, 26.4874992371, 26.1124992371, 27.3125000000, 25.2875003815, 24.7625007629, 25.3624992371, 24.9874992371, 54.0000000000, 66.0000000000, 26.7597465515, 46.4347305298, 28.1910438538, 37.6821556091, 25.7000007629, 54.5000000000, 
1491947377, 26.5625000000, 26.3750000000, 25.9624996185, 27.2000007629, 25.2124996185, 24.6875000000, 25.2875003815, 24.8750000000, 56.1199989319, 52.2000007629, 26.6449222565, 46.4606704712, 28.1216144562, 37.8728904724, 25.7000007629, 54.5999984741, 
1491947410, 26.4500007629, 26.4500007629, 25.8875007629, 27.0874996185, 25.1375007629, 24.5750007629, 25.2124996185, 24.7999992371, 52.1199989319, 65.4000015259, 26.5461196899, 46.4377822876, 28.0094604492, 38.0102233887, 25.6000003815, 54.7000007629, 
1491947443, 26.3374996185, 26.1499996185, 25.7749996185, 27.1250000000, 25.0249996185, 24.4624996185, 25.1000003815, 24.7250003815, 43.3199996948, 59.2000007629, 26.4473190308, 46.3660621643, 27.9079875946, 38.2162208557, 25.5000000000, 54.7000007629, 
1491947476, 26.2625007629, 26.0375003815, 25.6250000000, 26.8624992371, 24.9500007629, 24.4249992371, 25.0249996185, 24.6499996185, 43.7999992371, 43.5999984741, 26.3511867523, 46.3706398010, 27.7958335876, 38.4542617798, 25.5000000000, 54.7999992371, 
1491947509, 26.1499996185, 25.9249992371, 25.5499992371, 26.7875003815, 24.8374996185, 24.3125000000, 24.9125003815, 24.5750007629, 61.3199996948, 65.5199966431, 26.2523841858, 46.3202857971, 27.7397575378, 38.6205825806, 25.3999996185, 55.0000000000, 
1491947542, 26.0375003815, 25.8125000000, 25.4750003815, 26.6749992371, 24.7625007629, 24.2374992371, 24.8374996185, 24.4624996185, 45.1199989319, 59.7999992371, 26.2230110168, 46.2729835510, 27.6543064117, 38.6984062195, 25.3999996185, 55.0999984741, 
